INFO  2015-03-23 10:36:37,091   102ms Logger                 Application_Start  - Startting MVC
DEBUG 2015-03-23 10:38:32,058 115069ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 12 operations
DEBUG 2015-03-23 10:39:02,062 145073ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 10:39:32,075 175086ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 10:40:02,088 205099ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 10:40:32,101 235112ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 10:41:02,114 265125ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 10:41:32,127 295138ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 10:42:02,139 325150ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 10:42:32,152 355163ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 10:43:02,165 385176ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 10:43:32,178 415189ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 10:44:02,191 445202ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 10:44:32,204 475215ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 10:45:02,217 505228ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 10:45:32,230 535241ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 10:46:02,242 565253ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 10:46:32,256 595266ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-23 10:47:02,281 625291ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-23 10:47:32,325 655335ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
